PassengerId,Survived
748,1
610,0
347,0
82,1
556,0
794,1
497,1
21,0
587,1
494,0
876,1
259,0
509,0
438,0
849,0
348,0
256,1
475,1
867,1
574,1
174,0
116,0
738,1
269,1
1,1
411,0
571,1
99,0
241,1
77,0
221,0
349,1
157,0
188,1
496,0
754,0
540,1
247,0
607,1
329,1
868,1
459,0
456,0
278,0
629,0
372,0
218,0
557,1
886,0
614,1
654,0
248,0
601,0
880,1
747,0
173,0
889,1
770,0
594,0
330,1
703,0
439,0
45,0
402,1
180,0
829,0
806,0
688,0
548,0
222,1
441,1
231,1
566,1
289,0
118,0
780,0
68,0
765,0
476,1
681,0
88,0
573,0
126,1
46,0
426,0
840,0
878,1
223,0
418,0
92,0
726,0
235,1
142,0
850,0
756,1
335,1
6,0
270,1
354,1
398,1
819,0
196,1
452,0
526,1
722,0
532,1
395,0
343,0
628,0
764,0
879,0
638,0
626,1
103,0
847,0
763,1
732,0
640,0
297,1
280,0
698,0
295,1
28,1
388,1
503,0
130,1
255,0
4,0
555,0
691,1
304,0
511,0
482,0
550,0
453,1
807,0
803,0
154,1
472,1
779,0
724,1
603,1
24,0
421,0
147,1
406,0
172,0
353,1
755,0
97,1
170,0
767,1
542,0
35,0
881,0
618,0
374,1
817,0
702,1
244,1
273,0
757,1
340,0
483,1
159,1
505,0
15,1
178,0
165,0
204,0
22,0
467,0
727,0
462,0
715,1
155,0
811,0
358,0
403,0
209,0
634,1
750,1
201,0
183,0
684,0
291,0
373,0
224,1
729,0
194,0
527,0
752,0
581,0
630,0
593,1
85,0
820,0
3,1
64,0
367,0
366,0
50,0
547,1
317,0
866,0
495,0
49,0
279,0
816,0
500,0
179,1
41,0
225,1
125,0
859,0
890,1
716,0
66,0
208,0
7,0
455,0
267,0
220,1
697,1
443,1
528,0
133,1
292,0
852,1
158,0
744,0
679,1
800,0
286,1
588,0
48,1
692,0
138,0
328,1
642,0
339,0
177,1
512,0
405,0
740,1
132,0
768,0
264,0
736,0
661,0
166,0
282,0
660,0
121,0
404,0
772,0
446,0
517,0
734,1
815,0
645,0
524,0
136,0
567,0
293,0
217,0
129,0
596,1
